commune,societe,nb_atm,commune_norm,latitude,longitude
hay-hassani,Banque Populaire ????? ??????,1,hayhassani,33.5702887,-7.678495
hay-hassani,CIH Bank,1,hayhassani,33.5702887,-7.678495
ifrane,Inconnue,4,ifrane,33.527605,-5.107408
ifrane atlas saghir,Inconnue,1,ifraneatlassaghir,29.218819,-9.491069
ighrem n'ougdal,Inconnue,1,ighremnougdal,31.228184,-7.423589
jnan el ouard,Inconnue,1,jnanelouard,34.0575729,-4.9573848
kalaat m'gouna,Inconnue,1,kalaatmgouna,31.237704,-6.129345
ksar el majaz,Inconnue,3,ksarelmajaz,35.8245987,-5.5309798
kénitra,CIH Bank,1,kenitra,34.26457,-6.570169
kénitra,Inconnue,1,kenitra,34.26457,-6.570169
lamaachate,Inconnue,1,lamaachate,32.000818,-9.3214033
larache,Inconnue,2,larache,35.1952327,-6.152913
loualidia,Inconnue,1,loualidia,32.7097639,-8.9626018
m'hamid el ghizlane,Inconnue,2,mhamidelghizlane,29.8273291,-5.7238782
marrakech-médina,Inconnue,13,marrakechmedina,31.6291413,-7.9857622
marrakech-médina,Attijariwafa Bank,2,marrakechmedina,31.6291413,-7.9857622
marrakech-médina,Banque Populaire,2,marrakechmedina,31.6291413,-7.9857622
marrakech-médina,CIH Bank,2,marrakechmedina,31.6291413,-7.9857622
marrakech-médina,????? ??????,1,marrakechmedina,31.6291413,-7.9857622
martil,Bank Al-Maghrib ??? ??????,1,martil,35.617441,-5.274154
mehdya,CIH Bank,1,mehdya,34.2559173,-6.6577278
meknès,Inconnue,2,meknes,33.8984131,-5.5321582
meknès,Société générale Maroc ?????? ??????,2,meknes,33.8984131,-5.5321582
meknès,Attijariwafa Bank,1,meknes,33.8984131,-5.5321582
meknès,BMCI,1,meknes,33.8984131,-5.5321582
melilia,Inconnue,1,melilia,34.261341,-6.594619
mers-sultan,BMCE Bank,1,merssultan,33.5697535,-7.608839
midelt,Banque Populaire,1,midelt,32.680347,-4.739897
midelt,Crédit Agricole,1,midelt,32.680347,-4.739897
mikkes,Inconnue,1,mikkes,34.1276153,-5.267162
mirleft,Inconnue,2,mirleft,29.579707,-10.031733
moulay ali cherif,Inconnue,1,moulayalicherif,31.284735,-4.266987
moulay bousselham,CIH Bank,1,moulaybousselham,34.878009,-6.294076
moulay driss zerhoun,Banque Populaire,1,moulaydrisszerhoun,34.0556014,-5.52242
moulay driss zerhoun,Inconnue,1,moulaydrisszerhoun,34.0556014,-5.52242
méchouar-fès jdid,Attijariwafa Bank,1,mechouarfesjdid,34.0541441,-4.9945851
méchouar-fès jdid,Inconnue,1,mechouarfesjdid,34.0541441,-4.9945851
méchouar-kasba,Inconnue,4,mechouarkasba,31.5971984,-7.9870581
ménara,Inconnue,3,menara,31.6058729,-8.0324398
nador,Umnia Bank ????? ???,1,nador,35.1739922,-2.9281198
nouaceur,Inconnue,1,nouaceur,33.3678533,-7.5681451
oujda,Inconnue,3,oujda,34.677874,-1.929306
oulad teima,Inconnue,4,ouledteima,30.3954707,-9.2105335
ounagha,Crédit Agricole,1,ounagha,31.53312,-9.548635
safi,CIH Bank,1,safi,32.299424,-9.239533
saidia,Bank Al-Maghrib ??? ??????,1,saidia,35.0822208,-2.2245756
saiss,Inconnue,1,saiss,34.013828,-4.9847437
sebt gzoula,Crédit Agricole,1,sebtgzoula,32.108297,-9.084263
sebta,Caixabank,4,sebta,34.9950635,-5.9026979
sebta,Inconnue,2,sebta,34.9950635,-5.9026979
sebta,BBVA,1,sebta,34.9950635,-5.9026979
sebta,Banco Sabadell,1,sebta,34.9950635,-5.9026979
sebta,Banco Santander,1,sebta,34.9950635,-5.9026979
sebta,Unicaja Banco,1,sebta,34.9950635,-5.9026979
sidi belyout,Inconnue,10,sidibelyout,33.6057698,-7.6290611
sidi belyout,Société générale Maroc ?????? ??????,2,sidibelyout,33.6057698,-7.6290611
sidi belyout,Western Union,2,sidibelyout,33.6057698,-7.6290611
sidi belyout,Banque Populaire,1,sidibelyout,33.6057698,-7.6290611
sidi belyout,????? ??????? ??????? ????????,1,sidibelyout,33.6057698,-7.6290611
sidi bennour,Inconnue,1,sidibennour,32.6507792,-8.4242087
sidi bernoussi,Inconnue,2,sidibernoussi,33.6190686,-7.5003234
sidi el makhfi,Inconnue,1,sidielmakhfi,33.3959671,-5.3327353
sidi ifni,Al Barid Bank,1,sidiifni,29.3791253,-10.1715632
sidi moumen,Inconnue,1,sidimoumen,33.5843834,-7.5072051
sidi slimane,Attijariwafa Bank,2,sidislimane,34.259878,-5.927253
skhirate,Inconnue,1,skhirate,33.850672,-7.028026
skoura ahl el oust,Inconnue,1,skouraahleloust,31.0487448,-6.4924736
tabriquet,Crédit Agricole,2,tabriquet,34.0554847,-6.7887259
