commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
Hay-Hassani	0.7	2.0	2.0	0.9914643905041345	0.9885844748858448	0.971671388101983	0.9866	Bon	41
Berrechid	0.78	2.2	1.5	0.9871965857562016	0.9840182648401826	0.9858356940509915	0.986	Bon	42
Guelmim	0.8	2.3	1.3	0.9861296345692184	0.9817351598173516	0.9915014164305949	0.9859	Bon	43
Benslimane	0.63	1.8	2.8	0.9951987196585756	0.9931506849315068	0.9490084985835694	0.9853	Bon	44
Sidi Yahya Zaer	0.73	2.1	2.0	0.9898639637236597	0.9863013698630136	0.971671388101983	0.9852	Bon	45
Bab Lamrissa	0.79	2.2	1.6	0.98666311016271	0.9840182648401826	0.9830028328611898	0.9851	Bon	46
Deroua	0.77	2.2	1.7	0.9877300613496932	0.9840182648401826	0.9801699716713881	0.9851	Bon	46
Sidi Moumen	0.75	2.1	2.0	0.9887970125366764	0.9863013698630136	0.971671388101983	0.9846	Bon	48
Ain El Aouda	0.81	2.3	1.5	0.9855961589757268	0.9817351598173516	0.9858356940509915	0.9845	Bon	49
Er-Rich	0.74	2.1	2.1	0.989330488130168	0.9863013698630136	0.9688385269121813	0.9843	Bon	50
Ait Melloul	0.84	2.4	1.3	0.983995732195252	0.9794520547945206	0.9915014164305949	0.9841	Bon	51
Bouizakarne	0.87	2.6	1.0	0.9823953054147773	0.9748858447488584	1.0	0.9837	Bon	52
Tabriquet	0.82	2.4	1.5	0.9850626833822352	0.9794520547945206	0.9858356940509915	0.9835	Bon	53
Es-Semara	0.83	2.4	1.5	0.9845292077887436	0.9794520547945206	0.9858356940509915	0.9833	Bon	54
Tahannaout	0.87	2.5	1.2	0.9823953054147773	0.9771689497716894	0.9943342776203966	0.9832	Bon	55
Arfoud	0.85	2.3	1.6	0.9834622566017605	0.9817351598173516	0.9830028328611898	0.9829	Bon	56
Mohammadia	0.76	2.2	2.3	0.9882635369431848	0.9840182648401826	0.9631728045325779	0.982	Bon	57
El Ouatia	0.76	2.1	2.5	0.9882635369431848	0.9863013698630136	0.9575070821529745	0.9815	Bon	58
Mehdya	0.87	2.5	1.5	0.9823953054147773	0.9771689497716894	0.9858356940509915	0.9815	Bon	58
Bir Gandouz	0.54	1.5	4.3	1.0	1.0	0.9065155807365439	0.9813	Bon	60
Al-Fida	0.73	2.1	2.8	0.9898639637236597	0.9863013698630136	0.9490084985835694	0.9806	Bon	61
Essaouira	0.87	2.5	1.7	0.9823953054147773	0.9771689497716894	0.9801699716713881	0.9804	Bon	62
Khouribga	0.9	2.6	1.5	0.9807948786343025	0.9748858447488584	0.9858356940509915	0.98	Bon	63
Tit Mellil	0.76	2.1	2.8	0.9882635369431848	0.9863013698630136	0.9490084985835694	0.9798	Bon	64
Dar Bouazza	0.86	2.5	1.9	0.9829287810082689	0.9771689497716894	0.9745042492917847	0.9795	Bon	65
Hay-Mohammadi	0.73	2.1	3.0	0.9898639637236597	0.9863013698630136	0.943342776203966	0.9795	Bon	65
El Youssoufia	0.81	2.3	2.4	0.9855961589757268	0.9817351598173516	0.9603399433427762	0.9794	Bon	67
El Hajeb	0.83	2.4	2.2	0.9845292077887436	0.9794520547945206	0.9660056657223796	0.9793	Bon	68
Bettana	0.89	2.5	1.8	0.9813283542277941	0.9771689497716894	0.9773371104815864	0.9793	Bon	68
Kelâat Sraghna	0.97	2.7	1.3	0.9770605494798613	0.9726027397260274	0.9915014164305949	0.9786	Bon	70
Saiss	0.97	2.8	1.4	0.9770605494798613	0.9703196347031964	0.9886685552407932	0.9774	Bon	71
Boujdour	1.01	2.9	1.1	0.9749266471058949	0.9680365296803652	0.9971671388101983	0.9773	Bon	72
Ben Guerir	0.94	2.7	1.7	0.9786609762603361	0.9726027397260274	0.9801699716713881	0.9771	Bon	73
Layayda	0.93	2.6	1.9	0.9791944518538277	0.9748858447488584	0.9745042492917847	0.977	Bon	74
Settat	0.97	2.8	1.5	0.9770605494798613	0.9703196347031964	0.9858356940509915	0.9768	Bon	75
Tan-Tan	0.98	2.9	1.4	0.9765270738863697	0.9680365296803652	0.9886685552407932	0.9764	Bon	76
Chefchaouen	0.89	2.5	2.3	0.9813283542277941	0.9771689497716894	0.9631728045325779	0.9764	Bon	76
Foum El Oued	0.73	2.2	3.5	0.9898639637236597	0.9840182648401826	0.9291784702549575	0.976	Bon	78
Bouznika	0.85	2.5	2.6	0.9834622566017605	0.9771689497716894	0.9546742209631728	0.9758	Bon	79
Lbir Jdid	0.86	2.4	2.7	0.9829287810082689	0.9794520547945206	0.9518413597733711	0.9757	Bon	80
Taroudannt	0.99	2.8	1.6	0.9759935982928781	0.9703196347031964	0.9830028328611898	0.9757	Bon	80
Gueznaia	0.92	2.6	2.2	0.9797279274473193	0.9748858447488584	0.9660056657223796	0.9755	Bon	82
El Menzeh	0.88	2.3	2.8	0.9818618298212857	0.9817351598173516	0.9490084985835694	0.9753	Bon	83
Sidi Allal El Bahraoui	0.97	2.8	1.8	0.9770605494798613	0.9703196347031964	0.9773371104815864	0.9751	Bon	84
El Marsa	1.0	2.8	1.7	0.9754601226993865	0.9703196347031964	0.9801699716713881	0.9749	Bon	85
Mediouna	1.0	2.8	1.7	0.9754601226993865	0.9703196347031964	0.9801699716713881	0.9749	Bon	85
Azilal	0.84	2.3	3.1	0.983995732195252	0.9817351598173516	0.9405099150141643	0.9746	Bon	87
Safi	0.93	2.6	2.4	0.9791944518538277	0.9748858447488584	0.9603399433427762	0.9741	Bon	88
Sidi Bou Othmane	0.72	2.1	4.0	0.9903974393171513	0.9863013698630136	0.9150141643059491	0.9741	Bon	88
Toulal	1.05	3.0	1.4	0.9727927447319286	0.9657534246575342	0.9886685552407932	0.9739	Bon	90
Ain Harrouda	0.85	2.4	3.1	0.9834622566017605	0.9794520547945206	0.9405099150141643	0.9737	Bon	91
Nouaceur	0.95	2.7	2.3	0.9781275006668445	0.9726027397260274	0.9631728045325779	0.9735	Bon	92
Mghogha	1.03	2.9	1.7	0.9738596959189117	0.9680365296803652	0.9801699716713881	0.9734	Bon	93
Béni Mellal	1.01	2.9	1.8	0.9749266471058949	0.9680365296803652	0.9773371104815864	0.9733	Bon	94
Inezgane	1.07	3.1	1.3	0.9717257935449454	0.9634703196347032	0.9915014164305949	0.9732	Bon	95
Ouahat Sidi Brahim	0.91	2.5	2.8	0.9802614030408109	0.9771689497716894	0.9490084985835694	0.9731	Bon	96
Meknès	0.98	2.8	2.1	0.9765270738863697	0.9703196347031964	0.9688385269121813	0.9731	Bon	96
Oujda	1.01	2.9	1.9	0.9749266471058949	0.9680365296803652	0.9745042492917847	0.9728	Bon	98
Sidi Belyout	0.74	2.0	4.3	0.989330488130168	0.9885844748858448	0.9065155807365439	0.9725	Bon	99
Bni Yakhlef	0.88	2.4	3.2	0.9818618298212857	0.9794520547945206	0.9376770538243626	0.9723	Bon	100
Aourir	0.93	2.7	2.6	0.9791944518538277	0.9726027397260274	0.9546742209631728	0.9723	Bon	100
Azrou	1.05	3.0	1.7	0.9727927447319286	0.9657534246575342	0.9801699716713881	0.9722	Bon	102
El Mansouria	0.96	2.8	2.4	0.9775940250733529	0.9703196347031964	0.9603399433427762	0.972	Bon	103
Sidi Youssef Ben Ali	0.98	2.8	2.3	0.9765270738863697	0.9703196347031964	0.9631728045325779	0.972	Bon	103
Al Machouar-Stinia	1.0	2.8	2.2	0.9754601226993865	0.9703196347031964	0.9660056657223796	0.972	Bon	103
Ben-M'sick	0.91	2.5	3.1	0.9802614030408109	0.9771689497716894	0.9405099150141643	0.9714	Bon	106
Martil	1.12	3.2	1.4	0.9690584155774873	0.9611872146118722	0.9886685552407932	0.9706	Bon	107
Mers-Sultan	0.71	2.0	4.8	0.9909309149106429	0.9885844748858448	0.8923512747875354	0.9705	Bon	108
