commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
aguelmamazegza	25.7	16.6	0.2277		0.3734	1.02	0.0	1.97	0.18	0.02017987700110202	0.0	0.027993627466918206	0.008114870500191624
aguelmous	25.3	14.6	0.617		0.5035	0.93	0.0	1.73	0.33	0.01804694813427973	0.0	0.024092076600448768	0.014877262583684646
aguerd	26.1	18.5	0.7404		0.5145	2.13	0.0	4.1	0.4	0.04648599969191029	0.0	0.06261989140683444	0.01803304555598139
aguinane	24.0	23.1	0.6019		0.4429	0.56	0.0	1.1	0.04	0.009278240570676973	0.0	0.013850505575966501	0.0018033045555981388
ahdil	32.6	11.2	0.649		0.4467	0.67	0.0	1.3	0.11	0.011885153630126441	0.0	0.01710179796469103	0.0049590875278948815
ahfir	18.1	26.3	0.9404		0.7618	13.62	0.0	26.69	1.4	0.31878991835622295	0.0	0.4298533667132701	0.06311565944593485
ahlaf	28.3	16.0	0.641		0.4419	1.98	0.0	3.95	0.0	0.042931118247206475	0.0	0.06018142211529105	0.0
ahlangad	27.4	13.5	0.8361		0.6763	3.06	0.0	5.93	0.48	0.06852626464907399	0.0	0.0923692167636639	0.021639654667177665
ahlouedza	26.5	15.1	0.6226		0.4153	1.06	0.0	2.08	0.11	0.021127845386356373	0.0	0.029781838280716698	0.0049590875278948815
ahlramel	25.1	16.1	0.8688		0.595	3.85	0.0	7.64	0.15	0.08724864025784744	0.0	0.12016776668725863	0.0067623920834930205
ahlsidilahcen	22.8	20.6	0.8409		0.5678	2.14	0.0	4.28	0.0	0.04672299178822389	0.0	0.06554605455668654	0.0
ahltifnoute	29.5	16.3	0.4161		0.3422	1.96	0.0	3.84	0.18	0.04245713405457929	0.0	0.05839321130149256	0.008114870500191624
ahmarlaglalcha	28.2	10.7	0.8592		0.66	1.87	0.0	3.62	0.29	0.040324205187757006	0.0	0.054816789673895576	0.013073958028086505
ainaicha	31.7	12.7	0.5434		0.5102	1.88	0.0	3.7	0.15	0.04056119728407059	0.0	0.05611730662938539	0.0067623920834930205
ainattig	27.5	8.8	0.9923		0.8168	12.78	6.97	21.07	0.77	0.29888258226588155	0.183401747184507	0.33849205059011084	0.03471361269526417
ainbeida	26.1	14.6	0.6013		0.6347	0.65	0.0	1.28	0.04	0.011411169437499265	0.0	0.016776668725818577	0.0018033045555981388
ainbida	28.7	12.2	0.9028		0.6572	2.54	0.0	4.96	0.29	0.05620267564076741	0.0	0.07660044867834993	0.013073958028086505
