commune,societe,nb_atm,commune_norm
Ounagha,Crédit Agricole,1,ounagha
Safi,CIH Bank,1,safi
Saidia,Bank Al-Maghrib ??? ??????,1,saidia
Saiss,Inconnue,1,saiss
Sebt Gzoula,Crédit Agricole,1,sebtgzoula
Sebta,Caixabank,4,sebta
Sebta,Inconnue,2,sebta
Sebta,BBVA,1,sebta
Sebta,Banco Sabadell,1,sebta
Sebta,Banco Santander,1,sebta
Sebta,Unicaja Banco,1,sebta
Sidi Belyout,Inconnue,10,sidibelyout
Sidi Belyout,Société générale Maroc ?????? ??????,2,sidibelyout
Sidi Belyout,Western Union,2,sidibelyout
Sidi Belyout,Banque Populaire,1,sidibelyout
Sidi Belyout,????? ??????? ??????? ????????,1,sidibelyout
Sidi Bennour,Inconnue,1,sidibennour
Sidi Bernoussi,Inconnue,2,sidibernoussi
Sidi El Makhfi,Inconnue,1,sidielmakhfi
Sidi Ifni,Al Barid Bank,1,sidiifni
Sidi Moumen,Inconnue,1,sidimoumen
Sidi Slimane,Attijariwafa Bank,2,sidislimane
Skhirate,Inconnue,1,skhirate
Skoura Ahl El Oust,Inconnue,1,skouraahleloust
Tabriquet,Crédit Agricole,2,tabriquet
Tabriquet,??????? ?????,2,tabriquet
Tabriquet,Al Barid Bank,1,tabriquet
Tabriquet,BMCE Bank,1,tabriquet
Tabriquet,CIH Bank,1,tabriquet
Tabriquet,Inconnue,1,tabriquet
Tabriquet,????? ??????,1,tabriquet
Tabriquet,??????? ??? ???,1,tabriquet
Tabriquet,????? ??????? ????????,1,tabriquet
Tafraout,Inconnue,2,tafraout
Tafraout,Banque populaire,1,tafraout
Tahannaout,Crédit Agricole,1,tahannaout
Tanant,Inconnue,1,tanant
Tanger-Médina,Inconnue,6,tangermedina
Tanger-Médina,????? ??????,1,tangermedina
Taroudannt,Inconnue,1,taroudannt
Tata,Inconnue,2,tata
Taza,CIH Bank,1,taza
Taza,Inconnue,1,taza
Tazarine,Inconnue,1,tazarine
Tinghir,Inconnue,5,tinghir
Témara,Inconnue,1,temara
Tétouan,Inconnue,2,tetouan
Tétouan,Attijariwafa,1,tetouan
Tétouan,Bmce,1,tetouan
Tétouan,Société Générale,1,tetouan
Yacoub El Mansour,Inconnue,2,yacoubelmansour
Zagora,Inconnue,2,zagora
