ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
???????,Ouarzazate,75847.0,0.1336722408970004,ouarzazate
???? ???? ??? ????,Sidi Hajjaj Oued Hassar,75699.0,0.1334113619818336,sidihajjajouedhassar
?????,Bettana,75470.0,0.1330077047414742,bettana
????,Ameur,75075.0,0.1323114400692386,ameur
???? ????,Sidi Kacem,74891.0,0.1319871041206529,sidikacem
?? ???????,Had Soualem,74761.0,0.1317579537221956,hadsoualem
??? ????,Ain Attig,73280.0,0.1291474018751553,ainattig
???? ????,Sidi Bibi,72210.0,0.1272613178263145,sidibibi
??????,Annakhil,71468.0,0.1259533978597352,annakhil
??? ????????,Souk El Arbaa,69036.0,0.1216665227132112,soukelarbaa
??????,M'diq,67393.0,0.1187704142157856,mdiq
????? ??????,Agdal Riyad,67255.0,0.1185271622543463,agdalriyad
????,Anfa,66026.0,0.1163608096412386,anfa
????????,Youssoufia,65602.0,0.1156134268031933,youssoufia
????????,Benslimane,65343.0,0.1151568887016514,benslimane
?????,Midelt,62149.0,0.1095268396810931,midelt
??? ?????,Ain Harrouda,60566.0,0.1067364929060324,ainharrouda
??? ????? ????? ?????,Souk Sebt Ouled Nemma,60171.0,0.1060402282337968,souksebtoulednemma
?????,Mehdya,58526.0,0.1031405943456257,mehdya
????,Azrou,57581.0,0.1014748472183785,azrou
????,Ouezzane,57356.0,0.1010782407595101,ouezzane
??????,Boujdour,56861.0,0.1002057065499997,boujdour
??? ?????,Ait Ourir,56836.0,0.100161639165681,aitourir
????? ?????,Oulad Tayeb,56324.0,0.0992591391348338,ouledtayeb
???? ????,Sidi Bennour,56116.0,0.0988924984973022,sidibennour
??? ????,Tit Mellil,55942.0,0.0985857895024439,titmellil
???????,Bouznika,55707.0,0.0981715560898481,bouznika
???????,Es-Semara,54190.0,0.0954975472093888,essemara
???????,Ben Mansour,53524.0,0.0943235920911384,benmansour
???? ???? ????,Sidi Mohamed Lahmar,52679.0,0.092834114501166,sidimohamedlahmar
?????,Temsia,52621.0,0.0927318781695466,temsia
????? ????,Ouled Salah,51621.0,0.0909691827967982,ouledsalah
??????,Ourika,50450.0,0.0889050665153099,ourika
??????,Biougra,50445.0,0.0888962530384461,biougra
??? ?????,Bni Ansar,50113.0,0.0883110381746936,bniansar
???????,Al Hoceima,49561.0,0.0873380303289365,elhoceima
??? ???????,FÃ¨s-MÃ©dina,49167.0,0.0866435283520737,fasmadina
????????,Laouamra,48156.0,0.0848614433302251,laouamra
???? ?????,Kasba Tadla,47399.0,0.0835270829330546,kasbatadla
??????,Azilal,47295.0,0.0833437626142887,azilal
??? ?????,Bejaad,47193.0,0.0831639676862684,bejaad
??????,Tarmigt,46963.0,0.0827585477505363,tarmigt
??????,Al Aaroui,46527.0,0.081990012568018,elaaroui
?????,M'rirt,46262.0,0.0815228982942396,mrirt
??????,Chefchaouen,46005.0,0.0810698855834433,chefchaouen
?????,Aourir,45879.0,0.080847785966477,aourir
