commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang	commune_norm
Adis	1.2	3.3	7.1	0.9647906108295544	0.9589041095890412	0.8271954674220963	0.9355	Bon	217	adis
Abaynou	1.66	4.5	3.5	0.9402507335289412	0.9315068493150684	0.9291784702549576	0.9354	Bon	218	abaynou
Laaouama	1.75	4.8	2.8	0.9354494531875168	0.9246575342465754	0.9490084985835694	0.9349	Bon	219	laaouama
Madagh	1.63	4.7	3.5	0.9418511603094158	0.9269406392694064	0.9291784702549576	0.9348	Bon	220	madagh
Oued Zem	1.45	4.0	5.2	0.9514537209922648	0.9429223744292238	0.8810198300283286	0.9348	Bon	220	ouedzem
Ain Tizgha	1.3	3.6	6.5	0.9594558548946386	0.952054794520548	0.8441926345609065	0.9342	Bon	222	aintizgha
Sidi Hammadi	1.64	4.8	3.5	0.9413176847159244	0.9246575342465754	0.9291784702549576	0.9339	Bon	223	sidihammadi
Had Kourt	1.57	4.6	4.1	0.9450520138703654	0.9292237442922374	0.9121813031161472	0.9337	Bon	224	hadkourt
Zaouiat Cheikh	1.66	4.7	3.7	0.9402507335289412	0.9269406392694064	0.923512747875354	0.9329	Bon	225	zaouiatcheikh
Nador	1.66	4.7	3.8	0.9402507335289412	0.9269406392694064	0.9206798866855525	0.9323	Bon	226	nador
Jerada	1.72	5.0	3.2	0.9370498799679916	0.9200913242009132	0.9376770538243626	0.9321	Bon	227	jerada
El Ksiba	1.69	4.7	3.7	0.9386503067484664	0.9269406392694064	0.923512747875354	0.9321	Bon	227	elksiba
Sidi Moussa El Majdoub	1.3	3.5	7.0	0.9594558548946386	0.954337899543379	0.830028328611898	0.932	Bon	229	sidimoussaelmajdoub
Tnine Aglou	1.57	4.4	4.7	0.9450520138703654	0.9337899543378996	0.8951841359773371	0.9317	Bon	230	tnineaglou
Immouzzer-Kandar	1.45	4.2	5.5	0.9514537209922648	0.9383561643835616	0.8725212464589235	0.9317	Bon	230	immouzzerkandar
Oued Essafa	1.65	4.6	4.1	0.9407842091224328	0.9292237442922374	0.9121813031161472	0.9316	Bon	232	ouedessafa
Sidi Boumoussa	1.65	4.5	4.3	0.9407842091224328	0.9315068493150684	0.906515580736544	0.9311	Bon	233	sidiboumoussa
Lakhsas	1.69	4.7	3.9	0.9386503067484664	0.9269406392694064	0.9178470254957508	0.931	Bon	234	lakhsas
Sidi Bennour	1.79	5.0	3.1	0.9333155508135504	0.9200913242009132	0.9405099150141644	0.9308	Bon	235	sidibennour
Sidi Bouknadel	1.52	4.1	5.6	0.9477193918378234	0.9406392694063928	0.8696883852691218	0.93	Bon	236	sidibouknadel
Tameslohte	1.52	4.1	5.6	0.9477193918378234	0.9406392694063928	0.8696883852691218	0.93	Bon	236	tameslohte
Lkheng	1.92	5.4	2.2	0.9263803680981596	0.910958904109589	0.9660056657223796	0.9297	Bon	238	lkheng
Chorfa M'daghra	1.16	2.9	9.0	0.9669245132035208	0.9680365296803652	0.773371104815864	0.9285	Bon	239	chorfamdaghra
Zmamra	1.9	5.5	2.5	0.9274473192851428	0.908675799086758	0.9575070821529744	0.9278	Bon	240	zmamra
Inchaden	1.63	4.6	4.9	0.9418511603094158	0.9292237442922374	0.8895184135977336	0.9276	Bon	241	inchaden
Moulay Yacoub	1.54	4.1	6.0	0.9466524406508402	0.9406392694063928	0.858356940509915	0.9272	Bon	242	moulayyacoub
Ferkla El Oulia	1.32	3.3	8.0	0.9583889037076554	0.9589041095890412	0.8016997167138811	0.9272	Bon	242	ferklaeloulia
Ouad Amlil	2.03	5.8	1.7	0.920512136569752	0.9018264840182648	0.980169971671388	0.9268	Bon	244	ouadamlil
Souk Sebt Ouled Nemma	1.8	5.1	3.7	0.9327820752200586	0.9178082191780822	0.923512747875354	0.9264	Bon	245	souksebtoulednemma
Harbil	1.81	5.1	3.7	0.932248599626567	0.9178082191780822	0.923512747875354	0.9262	Bon	246	harbil
Akhfennir	2.06	5.7	1.8	0.9189117097892772	0.9041095890410958	0.9773371104815864	0.9262	Bon	246	akhfennir
Ait Faska	1.56	4.3	6.0	0.945585489463857	0.9360730593607306	0.858356940509915	0.9253	Bon	248	aitfaska
Lahraouyine	1.55	4.2	6.2	0.9461189650573486	0.9383561643835616	0.8526912181303116	0.9251	Bon	249	lahraouyine
El Argoub	1.08	2.9	10.0	0.9711923179514536	0.9680365296803652	0.745042492917847	0.925	Bon	250	elargoub
Imintanoute	1.89	5.4	3.2	0.9279807948786344	0.910958904109589	0.9376770538243626	0.9248	Bon	251	imintanoute
Sidi Slimane Echcharaa	1.93	5.5	2.9	0.925846892504668	0.908675799086758	0.9461756373937678	0.9248	Bon	251	sidislimaneechcharaa
Machraa El Ain	1.75	4.8	4.7	0.9354494531875168	0.9246575342465754	0.8951841359773371	0.9242	Bon	253	machraaelain
Gheris El Ouloui	1.08	2.9	10.4	0.9711923179514536	0.9680365296803652	0.7337110481586402	0.9227	Bon	254	gheriselouloui
Aknoul	1.91	5.3	3.7	0.9269138436916512	0.91324200913242	0.923512747875354	0.9221	Bon	255	aknoul
Oulad M'rah	1.91	5.2	3.9	0.9269138436916512	0.9155251141552512	0.9178470254957508	0.9217	Bon	256	ouledmrah
Ait Sedrate Jebel Soufla	2.02	5.4	3.2	0.9210456121632437	0.910958904109589	0.9376770538243626	0.9213	Bon	257	aitsedratejebelsoufla
Sidi Rahal Chatai	1.31	3.6	8.8	0.958922379301147	0.952054794520548	0.7790368271954674	0.9209	Bon	258	sidirahalchatai
Ouled Ayad	1.77	4.9	5.1	0.9343825020005336	0.9223744292237442	0.8838526912181304	0.9207	Bon	259	ouledayad
Oulad Dahou	1.98	5.5	3.4	0.92317951453721	0.908675799086758	0.9320113314447592	0.9206	Bon	260	ouleddahou
Hjar Ennhal	1.71	4.6	5.8	0.9375833555614832	0.9292237442922374	0.8640226628895185	0.9204	Bon	261	hjarennhal
Boukraa	1.56	4.4	6.8	0.945585489463857	0.9337899543378996	0.8356940509915014	0.9201	Bon	262	boukraa
Dar Gueddari	1.69	4.6	6.0	0.9386503067484664	0.9292237442922374	0.858356940509915	0.9198	Bon	263	dargueddari
Majjate	1.71	4.5	6.1	0.9375833555614832	0.9315068493150684	0.8555240793201133	0.9193	Bon	264	majjate
Al Bahraoyine	1.79	4.8	5.5	0.9333155508135504	0.9246575342465754	0.8725212464589235	0.9186	Bon	265	elbahraoyine
Issen	1.11	3.1	10.8	0.9695918911709788	0.9634703196347032	0.7223796033994334	0.9183	Bon	266	issen
Taourirt	1.98	5.6	3.7	0.92317951453721	0.906392694063927	0.923512747875354	0.9182	Bon	267	taourirt
Sidi Slimane	1.79	4.6	5.9	0.9333155508135504	0.9292237442922374	0.8611898016997167	0.9177	Bon	268	sidislimane
Oumazza	1.72	4.5	6.4	0.9370498799679916	0.9315068493150684	0.8470254957507082	0.9174	Bon	269	oumazza
Boumia	2.07	5.7	3.5	0.9183782341957856	0.9041095890410958	0.9291784702549576	0.9163	Bon	270	boumia
Taounate	1.98	5.4	4.3	0.92317951453721	0.910958904109589	0.906515580736544	0.9162	Bon	271	taounate
Sidi Taibi	1.54	4.1	8.0	0.9466524406508402	0.9406392694063928	0.8016997167138811	0.9159	Bon	272	siditaibi
Mallalienne	1.59	4.4	7.6	0.9439850626833822	0.9337899543378996	0.8130311614730878	0.9147	Bon	273	mallalienne
Fdalate	1.44	3.9	9.1	0.9519871965857564	0.9452054794520548	0.7705382436260624	0.9137	Bon	274	fdalate
Bni Ansar	2.0	5.7	4.3	0.9221125633502268	0.9041095890410958	0.906515580736544	0.9136	Bon	275	bniansar
Imouzzer Marmoucha	1.98	5.6	4.6	0.92317951453721	0.906392694063927	0.8980169971671388	0.9131	Bon	276	imouzzermarmoucha
Naima	2.07	5.5	4.4	0.9183782341957856	0.908675799086758	0.9036827195467422	0.9125	Bon	277	naima
Azla	1.96	5.4	5.1	0.9242464657241932	0.910958904109589	0.8838526912181304	0.9122	Bon	278	azla
Ain Timguenai	1.96	5.5	5.0	0.9242464657241932	0.908675799086758	0.886685552407932	0.9121	Bon	279	aintimguenai
Ifrane Atlas Saghir	1.84	5.0	6.2	0.9306481728460922	0.9200913242009132	0.8526912181303116	0.9119	Bon	280	ifraneatlassaghir
El Aioun Sidi Mellouk	2.08	6.0	3.9	0.917844758602294	0.8972602739726028	0.9178470254957508	0.9117	Bon	281	elaiounsidimellouk
Sidi Dahmane	2.24	6.1	3.2	0.9093091491064283	0.8949771689497716	0.9376770538243626	0.9107	Bon	282	sididahmane
Ait Zineb	1.73	4.8	7.2	0.9365164043745	0.9246575342465754	0.8243626062322946	0.9105	Bon	283	aitzineb
Souk Lakhmis Dades	1.79	4.5	7.4	0.9333155508135504	0.9315068493150684	0.8186968838526911	0.9098	Bon	284	souklakhmisdades
El Maader El Kabir	2.06	5.8	4.6	0.9189117097892772	0.9018264840182648	0.8980169971671388	0.9096	Bon	285	elmaaderelkabir
Zeghanghane	2.06	5.8	4.6	0.9189117097892772	0.9018264840182648	0.8980169971671388	0.9096	Bon	285	zeghanghane
Sidi Dahbi	1.95	5.5	5.5	0.9247799413176848	0.908675799086758	0.8725212464589235	0.9095	Bon	287	sididahbi
Imzouren	2.36	6.6	2.3	0.9029074419845292	0.8835616438356164	0.963172804532578	0.9092	Bon	288	imzouren
Dar Bni Karrich	1.48	4.0	9.7	0.9498532942117898	0.9429223744292238	0.7535410764872521	0.9085	Bon	289	darbnikarrich
Sidi Abdellah Ghiat	1.64	4.3	8.7	0.9413176847159244	0.9360730593607306	0.7818696883852692	0.9079	Bon	290	sidiabdellahghiat
Lamhadi	1.85	5.3	6.5	0.9301146972526008	0.91324200913242	0.8441926345609065	0.9079	Bon	290	lamhadi
Al Aaroui	2.21	6.1	3.9	0.9109095758869032	0.8949771689497716	0.9178470254957508	0.9075	Bon	292	elaaroui
Figuig	2.23	5.9	4.1	0.90984262469992	0.8995433789954338	0.9121813031161472	0.9072	Bon	293	figuig
Bni Drar	2.18	6.2	4.0	0.912510002667378	0.8926940639269406	0.9150141643059492	0.9071	Bon	294	bnidrar
Bradia	2.26	6.4	3.4	0.9082421979194452	0.8881278538812785	0.9320113314447592	0.907	Bon	295	bradia
Ait Youl	2.08	5.2	5.8	0.917844758602294	0.9155251141552512	0.8640226628895185	0.9064	Bon	296	aityoul
Al Ouidane	1.71	4.7	8.2	0.9375833555614832	0.9269406392694064	0.7960339943342776	0.9061	Bon	297	elouidane
Agourai	2.12	6.1	4.6	0.9157108562283276	0.8949771689497716	0.8980169971671388	0.906	Bon	298	agourai
Zagora	1.93	5.3	6.5	0.925846892504668	0.91324200913242	0.8441926345609065	0.9057	Bon	299	zagora
Fès-Médina	1.92	5.2	6.7	0.9263803680981596	0.9155251141552512	0.838526912181303	0.9056	Bon	300	fesmedina
Ouled Frej	1.84	5.0	7.4	0.9306481728460922	0.9200913242009132	0.8186968838526911	0.9051	Bon	301	ouledfrej
My Abdellah	2.17	5.9	4.9	0.9130434782608696	0.8995433789954338	0.8895184135977336	0.9043	Bon	302	myabdellah
Aouint Lahna	1.77	4.5	8.5	0.9343825020005336	0.9315068493150684	0.7875354107648725	0.9042	Bon	303	aouintlahna
Karia Ba Mohamed	2.07	5.6	5.8	0.9183782341957856	0.906392694063927	0.8640226628895185	0.9039	Bon	304	kariabamohamed
Driouch	2.37	6.7	3.1	0.9023739663910376	0.8812785388127854	0.9405099150141644	0.9037	Bon	305	driouch
El Borouj	2.38	6.8	3.0	0.901840490797546	0.8789954337899544	0.943342776203966	0.9033	Bon	306	elborouj
Sabaa Aiyoun	2.09	5.7	5.7	0.9173112830088024	0.9041095890410958	0.8668555240793201	0.9033	Bon	306	sabaaaiyoun
Ain Bida	2.43	6.6	3.1	0.899173112830088	0.8835616438356164	0.9405099150141644	0.9028	Bon	308	ainbida
Et-Taous	1.77	4.4	8.9	0.9343825020005336	0.9337899543378996	0.7762039660056657	0.9026	Bon	309	ettaous
Izemmouren	2.28	6.4	4.1	0.907175246732462	0.8881278538812785	0.9121813031161472	0.9025	Bon	310	izemmouren
Oulad Tayeb	2.28	6.3	4.3	0.907175246732462	0.8904109589041096	0.906515580736544	0.902	Bon	311	ouledtayeb
Oued Laou	1.89	5.1	7.6	0.9279807948786344	0.9178082191780822	0.8130311614730878	0.9019	Bon	312	ouedlaou
Tagante	2.15	6.0	5.3	0.9141104294478528	0.8972602739726028	0.8781869688385269	0.9019	Bon	312	tagante
Akka	1.38	3.5	12.0	0.9551880501467058	0.954337899543379	0.6883852691218131	0.9016	Bon	314	akka
Jnan El Ouard	2.4	6.8	3.2	0.9007735396105628	0.8789954337899544	0.9376770538243626	0.9016	Bon	314	jnanelouard
Arbaa Sahel	1.99	5.5	6.7	0.9226460389437184	0.908675799086758	0.838526912181303	0.9016	Bon	314	arbaasahel
Ain Bni Mathar	2.47	7.0	2.7	0.8970392104561217	0.8744292237442922	0.9518413597733713	0.9012	Bon	317	ainbnimathar
Ras Tabouda	2.11	5.7	6.1	0.9162443318218192	0.9041095890410958	0.8555240793201133	0.9005	Bon	318	rastabouda
Sidi El Mekki	1.83	4.9	8.4	0.9311816484395838	0.9223744292237442	0.7903682719546742	0.9004	Bon	319	sidielmekki
Sidi Moussa Ben Ali	1.92	5.3	7.5	0.9263803680981596	0.91324200913242	0.8158640226628895	0.9003	Bon	320	sidimoussabenali
Loulad	1.81	5.0	8.4	0.932248599626567	0.9200913242009132	0.7903682719546742	0.9002	Bon	321	loulad
Laattaouia Ech-Chaibia	1.63	4.4	10.0	0.9418511603094158	0.9337899543378996	0.745042492917847	0.9001	Bon	322	laattaouiaechchaibia
Zaouia Sidi Tahar	1.8	4.7	8.9	0.9327820752200586	0.9269406392694064	0.7762039660056657	0.8997	Bon	323	zaouiasiditahar
Gheris Es-Soufli	1.79	5.0	8.6	0.9333155508135504	0.9200913242009132	0.7847025495750708	0.8996	Bon	324	gherisessoufli
Amizmiz	1.75	4.6	9.3	0.9354494531875168	0.9292237442922374	0.7648725212464589	0.8995	Bon	325	amizmiz
Ait Amira	2.16	6.1	5.6	0.9135769538543612	0.8949771689497716	0.8696883852691218	0.8992	Bon	326	aitamira
Lagfaf	1.99	5.3	7.6	0.9226460389437184	0.91324200913242	0.8130311614730878	0.8979	Bon	327	lagfaf
Bni Bouayach	2.34	6.7	4.3	0.9039743931715124	0.8812785388127854	0.906515580736544	0.8977	Bon	328	bnibouayach
Oulad Abbou	1.96	4.8	8.4	0.9242464657241932	0.9246575342465754	0.7903682719546742	0.8976	Bon	329	ouledabbou
Sidi Jaber	1.83	4.9	8.9	0.9311816484395838	0.9223744292237442	0.7762039660056657	0.8975	Bon	330	sidijaber
Sidi Aissa Ben Ali	1.87	5.1	8.5	0.9290477460656176	0.9178082191780822	0.7875354107648725	0.8974	Bon	331	sidiaissabenali
Oulad Yahya Louta	1.5	4.1	11.5	0.9487863430248066	0.9406392694063928	0.7025495750708215	0.8971	Bon	332	ouledyahyalouta
Sidi Ahmed Ou Amar	2.11	5.6	6.9	0.9162443318218192	0.906392694063927	0.8328611898016997	0.8966	Bon	333	sidiahmedouamar
Toudgha El Oulia	2.3	5.7	5.9	0.9061082955454788	0.9041095890410958	0.8611898016997167	0.8965	Bon	334	toudghaeloulia
Aoufous	1.72	4.7	9.9	0.9370498799679916	0.9269406392694064	0.7478753541076487	0.8962	Bon	335	aoufous
Laqsabi Tagoust	1.65	4.2	10.9	0.9407842091224328	0.9383561643835616	0.7195467422096318	0.8958	Bon	336	laqsabitagoust
Timoulilt	1.87	4.9	9.1	0.9290477460656176	0.9223744292237442	0.7705382436260624	0.8953	Bon	337	timoulilt
Charrate	1.98	5.3	8.2	0.92317951453721	0.91324200913242	0.7960339943342776	0.8948	Bon	338	charrate
Midar	2.3	6.5	5.6	0.9061082955454788	0.8858447488584474	0.8696883852691218	0.8927	Bon	339	midar
Oulad Azzouz	2.215	5.9	6.75	0.9106428380901574	0.8995433789954338	0.8371104815864022	0.8926	Bon	340	ouledazzouz
Soualem Trifiya	1.87	5.2	9.4	0.9290477460656176	0.9155251141552512	0.7620396600566572	0.8916	Bon	341	soualemtrifiya
Sidi El Aidi	2.03	5.4	8.4	0.920512136569752	0.910958904109589	0.7903682719546742	0.8916	Bon	341	sidielaidi
Ain Cheggag	2.14	5.5	7.8	0.9146439050413444	0.908675799086758	0.8073654390934843	0.8914	Bon	343	aincheggag
Zaio	2.28	6.4	6.1	0.907175246732462	0.8881278538812785	0.8555240793201133	0.8911	Bon	344	zaio
Znada	2.07	5.5	8.2	0.9183782341957856	0.908675799086758	0.7960339943342776	0.891	Bon	345	znada
Sahel Oulad H'riz	1.95	5.3	9.0	0.9247799413176848	0.91324200913242	0.773371104815864	0.891	Bon	345	sahelouledhriz
Bni Bouifrour	2.07	5.7	8.0	0.9183782341957856	0.9041095890410958	0.8016997167138811	0.8908	Bon	347	bnibouifrour
Lahouaza	2.12	5.9	7.6	0.9157108562283276	0.8995433789954338	0.8130311614730878	0.8903	Bon	348	lahouaza
Targa Wassay	2.21	6.5	6.5	0.9109095758869032	0.8858447488584474	0.8441926345609065	0.89	Bon	349	targawassay
Reggada	1.98	5.4	9.0	0.92317951453721	0.910958904109589	0.773371104815864	0.8896	Bon	350	reggada
Ouled M'barek	2.45	6.7	5.3	0.8981061616431049	0.8812785388127854	0.8781869688385269	0.8891	Bon	351	ouledmbarek
Kalâat M'gouna	2.15	5.9	7.7	0.9141104294478528	0.8995433789954338	0.8101983002832861	0.889	Bon	352	kalaatmgouna
Sebt Gzoula	2.38	6.3	6.2	0.901840490797546	0.8904109589041096	0.8526912181303116	0.8886	Bon	353	sebtgzoula
Ferkla Es-Soufla	1.72	4.5	11.5	0.9370498799679916	0.9315068493150684	0.7025495750708215	0.8885	Bon	354	ferklaessoufla
Lalla Takarkoust	1.79	4.9	10.7	0.9333155508135504	0.9223744292237442	0.725212464589235	0.8884	Bon	355	lallatakarkoust
Bir Anzarane	0.92	2.5	17.7	0.9797279274473192	0.9771689497716894	0.5269121813031161	0.8884	Bon	355	biranzarane
Ihaddadene	2.3	6.4	6.5	0.9061082955454788	0.8881278538812785	0.8441926345609065	0.8883	Bon	357	ihaddadene
Ain Chkef	2.39	6.5	6.1	0.9013070152040544	0.8858447488584474	0.8555240793201133	0.8875	Bon	358	ainchkef
El Hanchane	2.28	6.1	7.1	0.907175246732462	0.8949771689497716	0.8271954674220963	0.8875	Bon	358	elhanchane
Sidi Yahia El Gharb	2.34	6.3	6.7	0.9039743931715124	0.8904109589041096	0.838526912181303	0.8868	Bon	360	sidiyahiaelgharb
Dkhissa	2.29	6.1	7.2	0.9066417711389704	0.8949771689497716	0.8243626062322946	0.8867	Bon	361	dkhissa
Al Mahbass	1.81	4.9	10.9	0.932248599626567	0.9223744292237442	0.7195467422096318	0.8867	Bon	361	elmahbass
Idelsane	2.37	5.7	7.5	0.9023739663910376	0.9041095890410958	0.8158640226628895	0.8856	Bon	363	idelsane
Ouled Gnaou	2.52	7.2	5.0	0.8943718324886637	0.8698630136986301	0.886685552407932	0.8855	Bon	364	ouledgnaou
Zirara	2.23	6.1	7.7	0.90984262469992	0.8949771689497716	0.8101983002832861	0.8855	Bon	364	zirara
Bir Tam-Tam	2.38	6.5	6.5	0.901840490797546	0.8858447488584474	0.8441926345609065	0.8855	Bon	364	birtamtam
Ait Youssef Ou Ali	2.5	6.9	5.5	0.8954387836756469	0.8767123287671232	0.8725212464589235	0.8852	Bon	367	aityoussefouali
Foum Oudi	2.52	6.5	6.0	0.8943718324886637	0.8858447488584474	0.858356940509915	0.8846	Bon	368	foumoudi
Zegzel	2.29	6.5	7.1	0.9066417711389704	0.8858447488584474	0.8271954674220963	0.8845	Bon	369	zegzel
Mtarnagha	2.38	6.4	6.8	0.901840490797546	0.8881278538812785	0.8356940509915014	0.8845	Bon	369	mtarnagha
Méchouar-Fès-El Jadid	2.1	5.6	9.2	0.9167778074153108	0.906392694063927	0.7677053824362606	0.8838	Bon	371	mechouarfeseljadid
Iaazzanene	2.6	7.3	4.8	0.8901040277407308	0.8675799086757991	0.8923512747875354	0.8838	Bon	371	iaazzanene
Amerzgane	2.39	6.6	7.0	0.9013070152040544	0.8835616438356164	0.830028328611898	0.8817	Bon	373	amerzgane
Oum El Guerdane	1.19	3.1	16.9	0.965324086423046	0.9634703196347032	0.5495750708215297	0.8816	Bon	374	oumelguerdane
Es-Sifa	1.69	4.5	12.9	0.9386503067484664	0.9315068493150684	0.6628895184135977	0.8814	Bon	375	essifa
Oulad Hassoune	2.08	5.5	9.9	0.917844758602294	0.908675799086758	0.7478753541076487	0.8811	Bon	376	ouledhassoune
Fask	1.91	5.1	11.2	0.9269138436916512	0.9178082191780822	0.7110481586402266	0.881	Bon	377	fask
Ait Kamra	2.36	6.6	7.6	0.9029074419845292	0.8835616438356164	0.8130311614730878	0.8791	Bon	378	aitkamra
Sidi Slimane Moul Al Kifane	2.23	6.0	9.0	0.90984262469992	0.8972602739726028	0.773371104815864	0.8788	Bon	379	sidislimanemoulelkifane
Oulad Aarrad	1.64	4.3	13.9	0.9413176847159244	0.9360730593607306	0.6345609065155806	0.8784	Bon	380	ouledaarrad
Igli	2.17	5.7	10.1	0.9130434782608696	0.9041095890410958	0.7422096317280453	0.8762	Bon	381	igli
Oulad Massaoud	2.26	6.2	9.1	0.9082421979194452	0.8926940639269406	0.7705382436260624	0.876	Bon	382	ouledmassaoud
Lamharza Essahel	2.31	6.1	9.4	0.9055748199519872	0.8949771689497716	0.7620396600566572	0.8737	Bon	383	lamharzaessahel
Jaqma	2.12	5.9	10.6	0.9157108562283276	0.8995433789954338	0.7280453257790368	0.8733	Bon	384	jaqma
Boulanouare	2.33	6.1	9.4	0.904507868765004	0.8949771689497716	0.7620396600566572	0.8732	Bon	385	boulanouare
Oulad Ali Toualaa	2.37	5.9	9.6	0.9023739663910376	0.8995433789954338	0.7563739376770539	0.8723	Bon	386	ouledalitoualaa
Oulad Abdoune	2.35	5.9	9.7	0.9034409175780208	0.8995433789954338	0.7535410764872521	0.8723	Bon	386	ouledabdoune
Taghramt	2.2	5.9	10.5	0.9114430514803948	0.8995433789954338	0.7308781869688386	0.8718	Bon	388	taghramt
Echatea El Abied	1.2	3.0	18.7	0.9647906108295544	0.9657534246575342	0.4985835694050992	0.8718	Bon	388	echateaelabied
Zaida	2.56	7.0	7.7	0.8922379301146972	0.8744292237442922	0.8101983002832861	0.8705	Bon	390	zaida
Hel Merbaa	3.0	8.6	3.9	0.8687650040010669	0.8378995433789954	0.9178470254957508	0.8693	Bon	391	helmerbaa
Ahl Ramel	2.17	5.7	11.4	0.9130434782608696	0.9041095890410958	0.7053824362606231	0.8688	Bon	392	ahlramel
Ourika	2.23	5.8	11.1	0.90984262469992	0.9018264840182648	0.7138810198300283	0.8682	Bon	393	ourika
Krifate	2.83	7.7	6.0	0.8778340890904242	0.8584474885844748	0.858356940509915	0.8681	Bon	394	krifate
Ain Chair	2.62	6.8	8.1	0.8890370765537476	0.8789954337899544	0.7988668555240793	0.868	Bon	395	ainchair
Sidi Borja	2.36	6.2	10.1	0.9029074419845292	0.8926940639269406	0.7422096317280453	0.8677	Bon	396	sidiborja
Souihla	2.41	6.6	9.4	0.9002400640170712	0.8835616438356164	0.7620396600566572	0.8676	Bon	397	souihla
Timoulay	2.32	6.2	10.3	0.9050413443584956	0.8926940639269406	0.7365439093484418	0.8676	Bon	397	timoulay
El Koudia El Beida	2.28	6.1	10.7	0.907175246732462	0.8949771689497716	0.725212464589235	0.8671	Bon	399	elkoudiaelbeida
Sidi Harazem	2.34	6.4	10.1	0.9039743931715124	0.8881278538812785	0.7422096317280453	0.8669	Bon	400	sidiharazem
Taghzoute N'ait Atta	2.44	6.2	10.1	0.8986396372365965	0.8926940639269406	0.7422096317280453	0.8656	Bon	401	taghzoutenaitatta
Imlil	2.01	5.2	13.4	0.9215790877567352	0.9155251141552512	0.6487252124645893	0.8652	Bon	402	imlil
Aquouass Briech	2.19	5.8	12.1	0.9119765270738864	0.9018264840182648	0.6855524079320113	0.8636	Bon	403	aquouassbriech
Irherm	2.53	6.8	9.3	0.8938383568951721	0.8789954337899544	0.7648725212464589	0.8636	Bon	403	irherm
Bouarg	2.57	7.1	8.9	0.8917044545212056	0.8721461187214612	0.7762039660056657	0.8627	Bon	405	bouarg
Aghouinite	1.59	3.6	17.8	0.9439850626833822	0.952054794520548	0.5240793201133144	0.8624	Bon	406	aghouinite
Ouled Yaich	2.7	7.4	8.1	0.8847692718058149	0.865296803652968	0.7988668555240793	0.8617	Bon	407	ouledyaich
Arbaa Rasmouka	2.66	7.5	8.2	0.8869031741797813	0.863013698630137	0.7960339943342776	0.8616	Bon	408	arbaarasmouka
Oulad Ftata	2.65	7.3	8.6	0.8874366497732729	0.8675799086757991	0.7847025495750708	0.8609	Bon	409	ouledftata
Sidi Moussa	2.73	7.6	7.9	0.8831688450253401	0.860730593607306	0.8045325779036827	0.8607	Bon	410	sidimoussa
Ait Ouallal	2.34	5.9	11.8	0.9039743931715124	0.8995433789954338	0.6940509915014164	0.8607	Bon	410	aitouallal
Ameur	2.44	6.5	10.7	0.8986396372365965	0.8858447488584474	0.725212464589235	0.8601	Bon	412	ameur
Ighrem N'ougdal	2.75	7.4	8.2	0.8821018938383569	0.865296803652968	0.7960339943342776	0.8598	Bon	413	ighremnougdal
Freija	2.21	5.8	12.7	0.9109095758869032	0.9018264840182648	0.6685552407932012	0.8597	Bon	414	freija
Ahmar Laglalcha	2.19	5.7	13.0	0.9119765270738864	0.9041095890410958	0.660056657223796	0.8592	Bon	415	ahmarlaglalcha
Jahjouh	2.49	6.6	10.6	0.8959722592691384	0.8835616438356164	0.7280453257790368	0.8587	Bon	416	jahjouh
Choara	2.55	6.7	10.2	0.8927714057081889	0.8812785388127854	0.7393767705382437	0.8586	Bon	417	choara
Tighirt	3.05	8.6	5.6	0.866097626033609	0.8378995433789954	0.8696883852691218	0.8584	Bon	418	tighirt
Bzou	2.17	5.6	13.4	0.9130434782608696	0.906392694063927	0.6487252124645893	0.8582	Bon	419	bzou
Mijik	1.03	2.3	22.8	0.9738596959189116	0.9817351598173516	0.3824362606232294	0.8579	Bon	420	mijik
Alnif	2.57	7.0	9.9	0.8917044545212056	0.8744292237442922	0.7478753541076487	0.8578	Bon	421	alnif
Dar El Kebdani	2.86	8.0	7.4	0.8762336623099494	0.8515981735159817	0.8186968838526911	0.8573	Bon	422	darelkebdani
Dar Oum Soltane	2.69	7.2	9.2	0.8853027473993065	0.8698630136986301	0.7677053824362606	0.8572	Bon	423	daroumsoltane
Ibdar	3.3	9.4	3.7	0.852760736196319	0.819634703196347	0.923512747875354	0.857	Bon	424	ibdar
Jorf	2.26	5.9	12.9	0.9082421979194452	0.8995433789954338	0.6628895184135977	0.8566	Bon	425	jorf
Eddachra	2.72	7.1	9.3	0.8837023206188317	0.8721461187214612	0.7648725212464589	0.8565	Bon	426	eddachra
Zaitoune	3.05	8.0	6.8	0.866097626033609	0.8515981735159817	0.8356940509915014	0.8557	Bon	427	zaitoune
Isly	2.33	6.0	12.7	0.904507868765004	0.8972602739726028	0.6685552407932012	0.8551	Bon	428	isly
Aarab Sebbah Ziz	2.33	6.1	12.6	0.904507868765004	0.8949771689497716	0.6713881019830028	0.855	Bon	429	aarabsebbahziz
Matmata	2.3	6.3	12.5	0.9061082955454788	0.8904109589041096	0.6742209631728044	0.855	Bon	429	matmata
Toudgha Essoufla	2.35	6.2	12.4	0.9034409175780208	0.8926940639269406	0.6770538243626062	0.8549	Bon	431	toudghaessoufla
Oulad Sidi Ali Ben Youssef	2.94	7.9	7.8	0.8719658575620166	0.8538812785388128	0.8073654390934843	0.8536	Bon	432	ouledsidialibenyoussef
