commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aitsedratejebelsoufla	Ait Sedrate Jebel Soufla	27.1	14.3	0.9213		0.6318						0.0091924563688827	2.61	0.7	0.0		5228.0
aitsedratesahlcharkia	Ait Sedrate Sahl Charkia	32.6	13.1	0.7808		0.4951	0.5	0.5	0.0	0.87	0.33	0.0271578476079342	0.33	0.87	0.0	0.5	15420.0
aitsedratesahlelgharbia	Ait Sedrate Sahl El-Gharbia	33.1	12.1	0.6734		0.5244	0.9	0.9	0.24	1.27	0.95	0.0352045519845305	0.95	1.27	0.24	0.9	19985.0
aitsiberne	Ait Siberne	26.3	17.5	0.4545		0.3386	3.38	3.38	0.0	6.76	0.0	0.0082194485231256	0.0	6.76	0.0	3.38	4676.0
aitsididaoud	Ait Sidi Daoud	28.5	13.1	0.8186		0.6067	2.28	2.28	3.85	2.23	0.07	0.0369725354433972	0.07	2.23	3.85	2.28	20988.0
aittaguella	Ait Taguella	29.6	12.8	0.754		0.6292	6.41	6.41	0.24	12.03	1.62	0.0152349761066642	1.62	12.03	0.24	6.41	8656.0
aittaleb	Ait Taleb	31.5	13.1	0.5953		0.3729	0.63	0.63	0.0	1.26	0.0	0.0141808842737606	0.0	1.26	0.0	0.63	8058.0
aittamlil	Ait Tamlil	31.6	11.6	0.3644		0.1863	0.88	0.88	0.48	0.87	1.51	0.0318607188624269	1.51	0.87	0.48	0.88	18088.0
aityaazem	Ait Yaazem	26.2	14.9	0.8179		0.6014	5.71	5.71	0.0	11.42	0.0	0.0297877891040748	0.0	11.42	0.0	5.71	16912.0
aityadine	Ait Yadine	30.1	13.6	0.6666		0.5221	1.2	1.2	0.0	2.41	0.0	0.0370060266554794	0.0	2.41	0.0	1.2	21007.0
aityahya	Ait Yahya	32.2	14.0	0.5928		0.4735	0.39	0.39	0.0	0.72	0.15	0.007544336195363	0.15	0.72	0.0	0.39	4293.0
aityoul	Ait Youl	30.4	14.0	0.9064		0.5832	1.15	1.15	0.0	2.0	0.73	0.0082264993046166	0.73	2.0	0.0	1.15	4680.0
aityoussefouali	Ait Youssef Ou Ali	24.2	16.1	0.8852	1.0	0.5716	2.51	2.51	0.0	4.68	0.84	0.0243216707531821	0.84	4.68	0.0	2.51	13811.0
aitzineb	Ait Zineb	27.2	15.9	0.9105	1.0	0.6855	1.63	1.63	0.0	1.88	3.45	0.0185365045398219	3.45	1.88	0.0	1.63	10529.0
ajdir	Ajdir	48.4	33.900000000000006	0.8037		0.6145	7.0200000000000005	7.0200000000000005	0.48	13.05	1.76	0.0250655282004818	1.76	13.05	0.48	7.0200000000000005	14246.0
akarma	Akarma	32.7	12.4	0.636		0.5041	1.27	1.27	0.0	2.54	0.0	0.0084292092724827	0.0	2.54	0.0	1.27	4795.0
akhfennir	Akhfennir	29.3	9.4	0.9262		0.684						0.0049849025141324	0.0	0.0	0.0		2841.0
akka	Akka	29.2	15.1	0.9016		0.723	2.02	2.02	0.0	3.9	0.37	0.0098041116632264	0.37	3.9	0.0	2.02	5575.0
akkaighane	Akka-Ighane	26.5	18.1	0.8309		0.5826	1.14	1.14	0.0	2.21	0.15	0.0106290530976727	0.15	2.21	0.0	1.14	6043.0
aklim	Aklim	23.3	19.0	0.9478		0.7221	11.96	11.96	0.0	23.8	0.29	0.015159180205636	0.29	23.8	0.0	11.96	8613.0
aknoul	Aknoul	25.7	14.4	0.9221		0.7651	13.08	13.08	0.0	26.02	0.33	0.0077470461632291	0.33	26.02	0.0	13.08	4408.0
allougoum	Allougoum	31.1	13.1	0.7281		0.6241	0.28	0.28	0.0	0.37	0.48	0.0145157963945828	0.48	0.37	0.0	0.28	8248.0
allyene	Allyene	28.3	12.0	0.7714		0.5138	0.23	0.23	0.0	0.42	0.11	0.0142707817377708	0.11	0.42	0.0	0.23	8109.0
almajjatiaouledtaleb	Almajjatia Oulad Taleb	31.4	8.5	0.9465		0.777						0.1682245955936141	0.0	0.0	0.0		95449.0
almismarmoucha	Almis Marmoucha	29.1	15.2	0.6433		0.5435	2.47	2.47	0.0	4.92	0.04	0.0040171827544935	0.04	4.92	0.0	2.47	2292.0
alnif	Alnif	33.1	13.5	0.8578	2.0	0.6812	1.06	1.06	0.0	1.7	1.07	0.036020679942113	1.07	1.7	0.0	1.06	20448.0
alouidane							5.95	5.95	9.13	5.92	1.25					5.95	
amalou	Amalou	21.2	26.7	0.2725		0.3158	0.68	0.68	0.0	1.35	0.0	0.0038338624357277	0.0	1.35	0.0	0.68	2188.0
amejjaou	Amejjaou	25.0	20.0	0.5503		0.4853	1.55	1.55	0.0	3.07	0.07	0.0071741701670858	0.07	3.07	0.0	1.55	4083.0
amellagou	Amellagou	31.0	15.5	0.6654		0.6443	1.16	1.16	0.0	2.22	0.26	0.0082723293843081	0.26	2.22	0.0	1.16	4706.0
amersid	Amersid	30.7	13.5	0.7002		0.6458	0.96	0.96	0.0	1.81	0.29	0.0105902737994722	0.29	1.81	0.0	0.96	6021.0
amerzgane	Amerzgane	27.9	15.8	0.8817		0.6123	0.78	0.78	0.0	1.34	0.55	0.0152825688817284	0.55	1.34	0.0	0.78	8683.0
ameur	Ameur	32.3	7.4	0.8601		0.7077	5.78	5.78	6.97	7.11	0.66	0.1323114400692386	0.66	7.11	6.97	5.78	75075.0
ameurchamalia	Ameur Chamalia	34.1	8.7	0.4016		0.3469	2.3	2.3	0.0	4.58	0.04	0.038752857769873	0.04	4.58	0.0	2.3	21998.0
ameurseflia	Ameur Seflia	34.7	8.0	0.5195		0.511	2.4	2.4	0.72	4.28	0.22	0.0668449339253639	0.22	4.28	0.72	2.4	37935.0
amgala	Amgala	17.0	17.0	0.7536		0.4672						0.0004741650552693	0.0	0.0	0.0		282.0
amghras	Amghras	27.7	18.1	0.4174		0.5357	0.93	0.93	0.0	1.85	0.04	0.0104104788714519	0.04	1.85	0.0	0.93	5919.0
amizmiz	Amizmiz	24.9	15.7	0.8995		0.7689	8.56	8.56	3.37	14.81	0.73	0.0242317732891719	0.73	14.81	3.37	8.56	13760.0
ammelne	Ammelne	11.4	37.7	0.7725		0.3966	1.8	1.8	0.0	3.18	1.03	0.0047998194999938	1.03	3.18	0.0	1.8	2736.0
amouguer	Amouguer	29.0	15.1	0.5664		0.4342	1.28	1.28	0.0	2.56	0.0	0.0076659621760826	0.0	2.56	0.0	1.28	4362.0
amskroud	Amskroud	24.3	16.9	0.8509		0.6217	2.52	2.52	0.0	4.88	0.4	0.0169289263598754	0.4	4.88	0.0	2.52	9617.0
amtar	Amtar	29.7	11.3	0.7438		0.4346	0.88	0.88	0.0	1.73	0.07	0.0150798589138623	0.07	1.73	0.0	0.88	8568.0
amtdi	Amtdi	27.9	24.9	0.6393		0.4204	1.04	1.04	0.0	1.79	0.73	0.0019812695989691	0.73	1.79	0.0	1.04	1137.0
anemzi	Anemzi	30.4	11.6	0.3088		0.2974	2.25	2.25	0.0	4.41	0.22	0.0090267630038444	0.22	4.41	0.0	2.25	5134.0
anergui	Anergui	35.2	10.1	0.0289		0.3375	0.23	0.23	0.0	0.33	0.33	0.006983799066829	0.33	0.33	0.0	0.23	3975.0
anfa	Anfa	16.4	24.8	0.9868	11.0	0.7596	41.43	41.43	17.79	68.76	8.56	0.1163608096412386	8.56	68.76	17.79	41.43	66026.0
anfeg	Anfeg	22.1	28.9	0.6536		0.3571	1.78	1.78	0.0	3.52	0.11	0.0066806154627163	0.11	3.52	0.0	1.78	3803.0
anjra	Anjra	29.0	11.1	0.785		0.5392	1.43	1.43	0.72	2.36	0.15	0.0303201231066448	0.15	2.36	0.72	1.43	17214.0
annakhil	Annakhil	26.2	12.7	0.9372		0.7185	11.33	11.33	12.74	13.64	3.42	0.1259533978597352	3.42	13.64	12.74	11.33	71468.0
anougal	Anougal	29.0	15.8	0.47		0.4326	1.54	1.54	0.0	3.07	0.0	0.0070067141066747	0.0	3.07	0.0	1.54	3988.0
anzi	Anzi	21.5	25.3	0.6934		0.4602	2.45	2.45	0.0	4.82	0.18	0.0107101370848191	0.18	4.82	0.0	2.45	6089.0
anzou	Anzou	30.6	12.1	0.8418		0.6006	2.99	2.99	0.0	5.93	0.11	0.0291567441606309	0.11	5.93	0.0	2.99	16554.0
aoufous	Aoufous	28.4	18.2	0.8962		0.7926	0.27	0.27	0.0	0.32	0.55	0.0156403960423963	0.55	0.32	0.0	0.27	8886.0
aouguenz	Aouguenz	14.4	35.9	0.5161		0.3534	3.63	3.63	0.0	7.15	0.26	0.0050289698984511	0.26	7.15	0.0	3.63	2866.0
aouintlahna	Aouint Lahna	23.9	12.0	0.9042		0.359	1.14	1.14	0.0	2.22	0.15	0.0044296534717166	0.15	2.22	0.0	1.14	2526.0
aouintyghomane	Aouint Yghomane	27.7	11.7	0.7758		0.5562	0.95	0.95	0.0	1.87	0.07	0.005912080280198	0.07	1.87	0.0	0.95	3367.0
aoulouz	Aoulouz	28.1	13.2	0.8362		0.5591	1.42	1.42	0.0	2.65	0.48	0.0344060509806755	0.48	2.65	0.0	1.42	19532.0
aourir	Aourir	25.3	11.4	0.9723	4.0	0.7321	5.06	5.06	7.21	4.46	3.34	0.080847785966477	3.34	4.46	7.21	5.06	45879.0
aousserd	Aousserd	12.1	14.3	0.7689		0.3745						0.0004583007969145	0.0	0.0	0.0		273.0
aqesri							3.1	3.1	0.0	5.5	1.76					3.1	
aqsri	Aqsri	20.7	22.7	0.6583		0.5082						0.0058521486375246	1.76	5.5	0.0		3333.0
aquermoud	Aquermoud	27.4	16.2	0.6953		0.4321	2.47	2.47	0.24	4.76	0.11	0.028146719712046	0.11	4.76	0.24	2.47	15981.0
aquouassbriech	Aquouass Briech	25.8	16.0	0.8636		0.6008	7.55	7.55	6.73	10.97	0.22	0.008133076449861	0.22	10.97	6.73	7.55	4627.0
arazane	Arazane	26.9	16.8	0.5953		0.5011	0.94	0.94	0.0	1.83	0.11	0.0137825151195195	0.11	1.83	0.0	0.94	7832.0
arbaaaitabdellah	Arbaa Ait Abdellah	22.2	21.5	0.7391		0.4533	2.26	2.26	0.0	4.51	0.0	0.0046852443007651	0.0	4.51	0.0	2.26	2671.0
arbaaaitahmed	Arbaa Ait Ahmed	19.7	29.5	0.5129		0.3161	1.23	1.23	0.0	2.43	0.07	0.0067616994498627	0.07	2.43	0.0	1.23	3849.0
arbaarasmouka	Arbaa Rasmouka	19.4	29.1	0.8616		0.4452	1.94	1.94	0.0	3.76	0.29	0.0080819582840513	0.29	3.76	0.0	1.94	4598.0
arbaasahel	Arbaa Sahel	21.6	23.9	0.9016		0.5389	2.63	2.63	0.0	5.07	0.48	0.0153283989614198	0.48	5.07	0.0	2.63	8709.0
arbaataourirt	Arbaa Taourirt	26.4	15.4	0.4543		0.4064	2.04	2.04	0.0	4.03	0.15	0.0066718019858526	0.15	4.03	0.0	2.04	3798.0
arbaoua	Arbaoua	32.2	11.1	0.7708		0.558	3.27	3.27	0.48	6.14	0.29	0.0617983370731853	0.29	6.14	0.48	3.27	35072.0
arekmane	Arekmane	22.6	20.3	0.7493		0.6286	2.09	2.09	2.64	2.49	0.26	0.0289910507955925	0.26	2.49	2.64	2.09	16460.0
arfoud	Arfoud	29.5	10.8	0.9829	1.0	0.8316	16.89	16.89	0.24	33.06	1.43	0.0508766765436364	1.43	33.06	0.24	16.89	28876.0
argana	Argana	25.8	17.9	0.7051		0.361	1.28	1.28	0.0	2.5	0.15	0.0071424416503764	0.15	2.5	0.0	1.28	4065.0
asjen	Asjen	24.7	15.7	0.5455		0.5358	2.48	2.48	0.0	4.94	0.04	0.0202110651439328	0.04	4.94	0.0	2.48	11479.0
askaouen	Askaouen	25.9	18.1	0.7741		0.4484	4.44	4.44	0.0	8.83	0.15	0.0119863285346889	0.15	8.83	0.0	4.44	6813.0
asni	Asni	29.1	12.3	0.8368	1.0	0.5672	5.37	5.37	0.24	9.06	3.82	0.0398492542917225	3.82	9.06	0.24	5.37	22620.0
asoukhourassawda	Asoukhour Assawda	18.0	21.0	1.0		0.7902						0.1845207143146728	6.24	83.92	18.27		104694.0
asrir	Asrir	26.2	17.6	0.8443		0.6798	0.6	0.6	0.0	1.01	0.48	0.0056476759742858	0.48	1.01	0.0	0.6	3217.0
assa	Assa	27.9	10.4	0.9704	1.0	0.6879	5.19	5.19	0.0	10.07	0.77	0.0271754745616617	0.77	10.07	0.0	5.19	15430.0
assads	Assads	21.8	25.0	0.5158		0.3594	2.17	2.17	0.0	4.32	0.04	0.0063086867390664	0.04	4.32	0.0	2.17	3592.0
assahrij	Assahrij	31.9	12.2	0.817		0.5761	1.98	1.98	0.0	3.91	0.15	0.0285732919922511	0.15	3.91	0.0	1.98	16223.0
assais	Assais	31.2	20.5	0.0912		0.1097	0.71	0.71	0.0	1.4	0.04	0.0077981643290388	0.04	1.4	0.0	0.71	4437.0
assaisse	Assaisse	26.8	21.2	0.5437		0.2722	0.74	0.74	0.0	1.36	0.29	0.0104369193020431	0.29	1.36	0.0	0.74	5934.0
assaki	Assaki	27.3	17.0	0.7364		0.5791	1.53	1.53	0.0	2.92	0.33	0.0141597319292877	0.33	2.92	0.0	1.53	8046.0
assebbab	Assebbab	29.9	13.0	0.5528		0.4498	3.73	3.73	0.0	7.45	0.04	0.0125556791400866	0.04	7.45	0.0	3.73	7136.0
assifelmal	Assif El Mal	28.4	15.7	0.6094		0.4477	3.3	3.3	0.0	6.57	0.07	0.0140821733328867	0.07	6.57	0.0	3.3	8002.0
assilah	Assilah	24.3	15.7	0.9473	4.0	0.7978	12.79	12.79	6.73	19.62	4.81	0.0598646602492803	4.81	19.62	6.73	12.79	33975.0
assoukhourassawda					2.0		48.69	48.69	18.27	83.92	6.24					48.69	
assoul	Assoul	29.6	15.3	0.778		0.6188	1.11	1.11	0.0	2.2	0.04	0.0120074808791619	0.04	2.2	0.0	1.11	6825.0
atiamim	Atiamim	32.2	12.7	0.7948		0.6486	2.64	2.64	0.0	5.26	0.07	0.0119175834151517	0.07	5.26	0.0	2.64	6774.0
atouabet	Atouabet	30.1	16.1	0.7021		0.3332	1.92	1.92	0.0	3.83	0.0	0.0182703375385369	0.0	3.83	0.0	1.92	10378.0
ayacha	Ayacha	26.7	15.7	0.608		0.369	2.17	2.17	0.0	4.29	0.11	0.0121837504164367	0.11	4.29	0.0	2.17	6925.0
ayir	Ayir	31.3	11.4	0.757		0.5658	2.64	2.64	0.0	5.22	0.15	0.0543862030307784	0.15	5.22	0.0	2.64	30867.0
azagharnirs	Azaghar N'irs	24.0	26.1	0.572		0.2281	1.1	1.1	0.0	2.11	0.22	0.0069344435963921	0.22	2.11	0.0	1.1	3947.0
azemmour	Azemmour	23.0	15.6	0.9555	3.0	0.7716	32.76	32.76	5.77	60.93	2.83	0.0741724585898789	2.83	60.93	5.77	32.76	42092.0
azghar	Azghar	31.6	11.9	0.8014		0.6208	3.07	3.07	0.0	6.12	0.04	0.0206129596889195	0.04	6.12	0.0	3.07	11707.0
azgour	Azgour	27.4	16.1	0.5276		0.5227	3.13	3.13	0.0	6.26	0.0	0.0109181351388034	0.0	6.26	0.0	3.13	6207.0
aziar	Aziar	22.8	26.0	0.1447		0.1293	1.58	1.58	0.0	3.16	0.0	0.0035958985604066	0.0	3.16	0.0	1.58	2053.0
azilal	Azilal	27.8	11.4	0.9746	2.0	0.7271	8.7	8.7	0.24	16.15	2.75	0.0833437626142887	2.75	16.15	0.24	8.7	47295.0
azla	Azla	29.0	10.7	0.9122		0.5668	1.35	1.35	2.16	1.3	0.26	0.0404926381027757	0.26	1.3	2.16	1.35	22985.0
azlaf	Azlaf	26.1	18.9	0.7107		0.4815	0.69	0.69	0.0	1.34	0.11	0.0070313918418932	0.11	1.34	0.0	0.69	4002.0
azrar	Azrar	33.2	18.3	0.6104		0.311	0.88	0.88	0.0	1.75	0.0	0.0074509133406073	0.0	1.75	0.0	0.88	4240.0
azrou	Azrou	24.0	16.4	0.9722	1.0	0.7775	11.2	11.2	0.72	20.25	4.3	0.1014748472183785	4.3	20.25	0.72	11.2	57581.0
azzaba	Azzaba	25.8	17.5	0.8232		0.6772	1.84	1.84	0.0	3.63	0.15	0.0107788822043563	0.15	3.63	0.0	1.84	6128.0
babberred	Bab Berred	27.6	9.6	0.8378		0.6338	1.22	1.22	0.0	2.37	0.18	0.0435896938726946	0.18	2.37	0.0	1.22	24742.0
babboudir	Bab Boudir	26.4	17.2	0.1828		0.3886	3.16	3.16	0.0	6.17	0.37	0.0073962697840521	0.37	6.17	0.0	3.16	4209.0
bablamrissa	Bab Lamrissa	20.4	17.7	0.9851	3.0	0.8395	40.73	40.73	19.95	66.91	6.43	0.29483900421813	6.43	66.91	19.95	40.73	167279.0
babmarzouka	Bab Marzouka	27.4	16.1	0.6595		0.5416	2.3	2.3	0.24	4.43	0.07	0.0305104942069016	0.07	4.43	0.24	2.3	17322.0
babtaza	Bab Taza	30.2	9.4	0.7152		0.5794	2.32	2.32	0.0	4.5	0.37	0.052672863128467	0.37	4.5	0.0	2.32	29895.0
babtiouka	Bab Tiouka	29.3	13.9	0.6378		0.3991	3.87	3.87	0.0	7.74	0.0	0.0134193998727333	0.0	7.74	0.0	3.87	7626.0
bahharaouledayad	Bahhara Ouled Ayad	33.7	7.9	0.5792		0.224	5.87	5.87	0.0	11.7	0.11	0.0679765843546684	0.11	11.7	0.0	5.87	38577.0
banimellal												0.3685637381833309					209104.0
barkine	Barkine	29.3	13.5	0.4325		0.4312	3.32	3.32	0.0	6.6	0.11	0.011936973064252	0.11	6.6	0.0	3.32	6785.0
bejaad	Bejaad	24.7	17.7	0.9562		0.7096	6.92	6.92	0.0	13.46	0.95	0.0831639676862684	0.95	13.46	0.0	6.92	47193.0
belfaa	Belfaâ	28.8	10.5	0.9387		0.6639	3.86	3.86	6.97	3.42	0.29	0.0643260422377065	0.29	3.42	6.97	3.86	36506.0
belyounech	Belyounech	24.6	14.1	0.7595		0.5193	3.81	3.81	0.0	7.49	0.33	0.0080731448071875	0.33	7.49	0.0	3.81	4593.0
benahmed	Ben Ahmed	26.5	14.4	0.9413		0.7563	4.88	4.88	0.0	9.16	1.51	0.0587312471246031	1.51	9.16	0.0	4.88	33332.0
benguerir	Ben Guerir	28.7	10.5	0.9771		0.787	8.8	8.8	3.37	14.53	2.61	0.2017263838480697	2.61	14.53	3.37	8.8	114455.0
benimalek	Beni Malek	31.8	10.5	0.6205		0.471	2.9	2.9	0.0	5.79	0.04	0.0505858318071329	0.04	5.79	0.0	2.9	28711.0
benimellal	Béni Mellal	24.2	15.3	0.9733		0.7927	13.28	13.28	2.64	18.95	15.06		15.06	18.95	2.64	13.28	
benkhlil	Ben Khlil	23.2	14.7	0.6574		0.6728	2.16	2.16	0.0	4.27	0.11	0.0006380957249349	0.11	4.27	0.0	2.16	375.0
benmaachou	Ben Maachou	26.8	17.6	0.8353		0.5146	3.77	3.77	0.0	7.54	0.0	0.0146744389781302	0.0	7.54	0.0	3.77	8338.0
benmansour	Ben Mansour	34.9	8.1	0.637		0.2778	5.73	5.73	0.24	11.16	0.37	0.0943235920911384	0.37	11.16	0.24	5.73	53524.0
benmsick	Ben-M'sick	18.9	20.1	0.9714		0.8117	40.76	40.76	11.06	73.91	2.46	0.1860278188583727	2.46	73.91	11.06	40.76	105549.0
benslimane	Benslimane	25.1	14.2	0.9853		0.8556	6.24	6.24	0.0	11.59	2.2	0.1151568887016514	2.2	11.59	0.0	6.24	65343.0
bensmim	Ben Smim	25.7	14.4	0.8464		0.6125	2.74	2.74	0.0	5.13	0.88	0.0117941947390593	0.88	5.13	0.0	2.74	6704.0
bentaieb	Ben Taieb	26.2	15.4	0.8442		0.5674	8.3	8.3	0.0	16.24	0.92	0.0264157528560071	0.92	16.24	0.0	8.3	14999.0
berkane	Berkane	21.4	20.0	0.9445	1.0	0.7505	35.16	35.16	1.92	66.55	6.54	0.1741983702118583	6.54	66.55	1.92	35.16	98838.0
berrechid	Berrechid	26.2	11.3	0.986		0.804	15.48	15.48	0.48	27.38	8.23	0.2951386624314973	8.23	27.38	0.48	15.48	167449.0
bettana	Bettana	19.1	19.9	0.9793	1.0	0.8083	32.01	32.01	13.94	54.19	3.67	0.1330077047414742	3.67	54.19	13.94	32.01	75470.0
bghaghza	Bghaghza	29.8	12.1	0.5421		0.455	2.39	2.39	0.0	4.75	0.07	0.0109727786953586	0.07	4.75	0.0	2.39	6238.0
bhalil	Bhalil	24.6	17.9	0.9468		0.7705	3.89	3.89	0.0	7.71	0.18	0.0241559773881437	0.18	7.71	0.0	3.89	13717.0
bigoudine	Bigoudine	22.6	21.1	0.5023		0.4531	2.51	2.51	0.0	5.02	0.0	0.0073345754460059	0.0	5.02	0.0	2.51	4174.0
binelouidane	Bin El Ouidane	27.3	18.1	0.497		0.5287	1.56	1.56	0.0	2.99	0.33	0.0080942971516605	0.33	2.99	0.0	1.56	4605.0
biougra	Biougra	27.9	8.7	0.9701		0.7398	19.55	19.55	6.49	34.34	2.17	0.0888962530384461	2.17	34.34	6.49	19.55	50445.0
biranzarane	Bir Anzarane	0.7	3.5	0.8884		0.8141						0.0030318360411272	0.0	0.0	0.0		1733.0
birennasr	Bir Ennasr	27.9	15.4	0.5483		0.3247	2.44	2.44	0.0	4.89	0.0	0.0074791164665713	0.0	4.89	0.0	2.44	4256.0
birgandouz	Bir Gandouz	25.1	3.7	0.9813		0.8143						0.0060090285256992	0.0	0.0	0.0		3422.0
birmezoui	Bir Mezoui	27.1	17.9	0.8392		0.809	5.37	5.37	1.44	9.84	0.07	0.0098781448688819	0.07	9.84	1.44	5.37	5617.0
birtaleb	Bir Taleb	28.1	13.9	0.7868		0.5725	5.46	5.46	0.0	10.93	0.0	0.0208526862596133	0.0	10.93	0.0	5.46	11843.0
birtamtam	Bir Tam-Tam	23.3	20.4	0.8855		0.5575	4.38	4.38	0.0	8.7	0.15	0.0157602593277432	0.15	8.7	0.0	4.38	8954.0
bitit	Bitit	28.5	12.6	0.8374		0.6314	2.13	2.13	0.0	4.26	0.0	0.026837037050094	0.0	4.26	0.0	2.13	15238.0
bizdad	Bizdad	30.3	17.4	0.5528		0.3697	4.77	4.77	0.0	9.46	0.18	0.0124516801130945	0.18	9.46	0.0	4.77	7077.0
bleida	Bleida	37.0	9.0	0.5075		0.5485	0.87	0.87	0.0	1.72	0.04	0.007572539321327	0.04	1.72	0.0	0.87	4309.0
bniabdallah							1.83	1.83	0.0	3.64	0.07					1.83	
bniabdellah	Bni Abdellah	24.6	19.2	0.5977		0.4709						0.0085543606439478	0.07	3.64	0.0		4866.0
bniahmedcherqia	Bni Ahmed Cherqia	28.9	12.8	0.6172		0.5581	1.32	1.32	0.0	2.61	0.07	0.0190141949858367	0.07	2.61	0.0	1.32	10800.0
bniahmedgharbia	Bni Ahmed Gharbia	26.3	11.7	0.6361		0.4277	2.14	2.14	0.0	4.26	0.04	0.0187021979048602	0.04	4.26	0.0	2.14	10623.0
bniahmedimoukzan	Bni Ahmed Imoukzan	32.2	10.3	0.5312		0.5329	1.09	1.09	0.0	2.18	0.0	0.0133383158855869	0.0	2.18	0.0	1.09	7580.0
bniainyat	Bni A'yat	29.7	14.8	0.8371		0.5682						0.0417018471284811	0.07	1.42	0.0		23671.0
bniammart	Bni Ammart	33.5	12.2	0.6264		0.5312	1.84	1.84	0.0	3.61	0.15	0.0098129251400902	0.15	3.61	0.0	1.84	5580.0
bniansar	Bni Ansar	25.1	14.4	0.9136		0.696	13.09	13.09	19.23	13.81	2.06	0.0883110381746936	2.06	13.81	19.23	13.09	50113.0
bniarouss	Bni Arouss	24.4	17.8	0.6436		0.4461	2.21	2.21	0.0	4.37	0.11	0.0129029301285181	0.11	4.37	0.0	2.21	7333.0
bniayat							0.72	0.72	0.0	1.42	0.07					0.72	
bnibataou	Bni Bataou	27.2	18.1	0.5563		0.3934	1.72	1.72	0.0	3.43	0.04	0.0073645412673427	0.04	3.43	0.0	1.72	4191.0
bnibchir	Bni Bchir	33.0	9.8	0.6385		0.4758	0.02	0.02	0.0	0.05	0.0	0.0094974026683682	0.0	0.05	0.0	0.02	5401.0
bnibouayach	Bni Bouayach	27.1	13.6	0.8977		0.5529	3.56	3.56	0.0	6.85	0.66	0.0352398058919855	0.66	6.85	0.0	3.56	20005.0
bnibouchibet	Bni Bouchibet	33.8	10.2	0.2946		0.5424	2.93	2.93	0.0	5.86	0.0	0.0156809380359695	0.0	5.86	0.0	2.93	8909.0
bniboufrah	Bni Boufrah	22.3	18.3	0.6255		0.4453	1.72	1.72	0.0	3.15	0.7	0.0147608110513949	0.7	3.15	0.0	1.72	8387.0
bnibouifrour	Bni Bouifrour	25.6	15.8	0.8908		0.6882	8.61	8.61	0.72	16.71	0.18	0.0120409720912441	0.18	16.71	0.72	8.61	6844.0
bnibounsar	Bni Bounsar	27.6	11.7	0.6679		0.628	0.61	0.61	0.0	1.21	0.04	0.0114257914061549	0.04	1.21	0.0	0.61	6495.0
bnibouzra	Bni Bouzra	31.3	10.3	0.6416		0.435	1.34	1.34	0.0	2.65	0.07	0.0279827890423804	0.07	2.65	0.0	1.34	15888.0
bnichegdale	Bni Chegdale	30.2	15.1	0.8495		0.5692	2.45	2.45	0.0	4.88	0.07	0.0183320318765831	0.07	4.88	0.0	2.45	10413.0
bnichiker	Bni Chiker	24.7	17.6	0.8424		0.6473	3.23	3.23	0.0	5.98	1.18	0.0392816663816975	1.18	5.98	0.0	3.23	22298.0
bnidarkoul	Bni Darkoul	29.7	10.7	0.6779		0.5523	3.5	3.5	0.0	6.96	0.11	0.0246266170526675	0.11	6.96	0.0	3.5	13984.0
bnidrar	Bni Drar	27.8	15.7	0.9071		0.6357	6.57	6.57	0.0	12.94	0.51	0.019201040695348	0.51	12.94	0.0	6.57	10906.0
bnifaghloum	Bni Faghloum	28.1	10.7	0.5847		0.5094	2.02	2.02	0.0	4.03	0.0	0.0162996441118042	0.0	4.03	0.0	2.02	9260.0
bnifrassen	Bni Frassen	29.4	17.6	0.4422		0.4151	0.79	0.79	0.0	1.56	0.04	0.0350000793212917	0.04	1.56	0.0	0.79	19869.0
bniftah	Bni Ftah	27.9	14.7	0.3207		0.4696	2.32	2.32	0.0	4.62	0.04	0.0169553667904666	0.04	4.62	0.0	2.32	9632.0
bnigarfett	Bni Garfett	29.3	13.7	0.4338		0.5069	0.55	0.55	0.0	1.06	0.11	0.0199131696259384	0.11	1.06	0.0	0.55	11310.0
bnigmil	Bni Gmil	29.6	12.9	0.6906		0.496	1.01	1.01	0.0	1.79	0.59	0.0136221098405994	0.59	1.79	0.0	1.01	7741.0
bnigmilmaksouline	Bni Gmil Maksouline	30.2	11.5	0.5542		0.4283	0.04	0.04	0.0	0.08	0.0	0.012693169379161	0.0	0.08	0.0	0.04	7214.0
bniguil	Bni Guil	33.6	9.4	0.3069		0.3661	0.69	0.69	0.24	1.17	0.18	0.0145175590899556	0.18	1.17	0.24	0.69	8249.0
bnihadifa	Bni Hadifa	26.6	16.1	0.8287		0.5598	4.41	4.41	0.0	8.77	0.11	0.0082934817287811	0.11	8.77	0.0	4.41	4718.0
bniharchen	Bni Harchen	26.3	14.1	0.4848		0.4242	2.95	2.95	4.33	3.3	0.0	0.011298877339317	0.0	3.3	4.33	2.95	6423.0
bnihassane	Bni Hassane	28.8	14.0	0.7674		0.5536	1.44	1.44	0.0	2.86	0.04	0.0218168806285066	0.04	2.86	0.0	1.44	12390.0
bnihilal	Bni Hilal	28.6	17.2	0.6366		0.3807	3.45	3.45	0.0	6.86	0.11	0.0295286728842808	0.11	6.86	0.0	3.45	16765.0
