commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
agourai	Agourai	26.8	14.0	0.906		0.6917	5.42	5.42	0.0	10.81	0.07	0.0337468029112676	0.07	10.81	0.0	5.42	19158.0
aguelmamazegza	Aguelmam Azegza	25.7	16.6	0.2277		0.3734	1.02	1.02	0.0	1.97	0.18	0.0119263968920155	0.18	1.97	0.0	1.02	6779.0
aguelmous	Aguelmous	25.3	14.6	0.617		0.5035	0.93	0.93	0.0	1.73	0.33	0.0644124143109712	0.33	1.73	0.0	0.93	36555.0
aguerd	Aguerd	26.1	18.5	0.7404		0.5145	2.13	2.13	0.0	4.1	0.4	0.009442759111813	0.4	4.1	0.0	2.13	5370.0
aguinane	Aguinane	24.0	23.1	0.6019		0.4429	0.56	0.56	0.0	1.1	0.04	0.0042005030732593	0.04	1.1	0.0	0.56	2396.0
ahdil	Ahdil	32.6	11.2	0.649		0.4467	0.67	0.67	0.0	1.3	0.11	0.0195958844588437	0.11	1.3	0.0	0.67	11130.0
ahfir	Ahfir	18.1	26.3	0.9404		0.7618	13.62	13.62	0.0	26.69	1.4	0.0279281454858252	1.4	26.69	0.0	13.62	15857.0
ahlaf	Ahlaf	28.3	16.0	0.641		0.4419	1.98	1.98	0.0	3.95	0.0	0.0203802838997167	0.0	3.95	0.0	1.98	11575.0
ahlangad	Ahl Angad	27.4	13.5	0.8361		0.6763	3.06	3.06	0.0	5.93	0.48	0.0316051280333784	0.48	5.93	0.0	3.06	17943.0
ahlouedza	Ahl Oued Za	26.5	15.1	0.6226		0.4153	1.06	1.06	0.0	2.08	0.11	0.0187885699781249	0.11	2.08	0.0	1.06	10672.0
ahlramel	Ahl Ramel	25.1	16.1	0.8688		0.595	3.85	3.85	0.0	7.64	0.15	0.0131902494742761	0.15	7.64	0.0	3.85	7496.0
ahlsidilahcen	Ahl Sidi Lahcen	22.8	20.6	0.8409		0.5678	2.14	2.14	0.0	4.28	0.0	0.0062628566593749	0.0	4.28	0.0	2.14	3566.0
ahltifnoute	Ahl Tifnoute	29.5	16.3	0.4161		0.3422	1.96	1.96	0.0	3.84	0.18	0.0091360501169548	0.18	3.84	0.0	1.96	5196.0
ahmarlaglalcha	Ahmar Laglalcha	28.2	10.7	0.8592		0.66	1.87	1.87	0.0	3.62	0.29	0.0381006604819561	0.29	3.62	0.0	1.87	21628.0
ainaicha	Ain Aicha	31.7	12.7	0.5434		0.5102	1.88	1.88	0.0	3.7	0.15	0.0403428089960921	0.15	3.7	0.0	1.88	22900.0
ainattig	Ain Attig	27.5	8.8	0.9923		0.8168	12.78	12.78	6.97	21.07	0.77	0.1291474018751553	0.77	21.07	6.97	12.78	73280.0
ainbeida	Ain Beida	26.1	14.6	0.6013		0.6347	0.65	0.65	0.0	1.28	0.04	0.0182368463264547	0.04	1.28	0.0	0.65	10359.0
ainbida	Ain Bida	28.7	12.2	0.9028		0.6572	2.54	2.54	0.0	4.96	0.29	0.0193984625770958	0.29	4.96	0.0	2.54	11018.0
ainblal	Ain Blal	29.6	16.2	0.762		0.4624	2.6	2.6	0.0	5.19	0.0	0.0070137648881657	0.0	5.19	0.0	2.6	3992.0
ainbnimathar	Ain Bni Mathar	26.3	14.8	0.9012		0.6567	14.79	14.79	0.24	29.11	0.84	0.0272759481979083	0.84	29.11	0.24	14.79	15487.0
ainbouali	Ain Bou Ali	29.4	11.9	0.3208		0.3408	5.29	5.29	0.0	10.55	0.07	0.0217534235950877	0.07	10.55	0.0	5.29	12354.0
ainchair	Ain Chair	27.5	15.8	0.868		0.6357	2.12	2.12	0.0	4.25	0.0	0.002619365323904	0.0	4.25	0.0	2.12	1499.0
aincheggag	Ain Cheggag	30.1	11.4	0.8914		0.6782	2.16	2.16	0.0	4.3	0.07	0.0499583122544345	0.07	4.3	0.0	2.16	28355.0
ainchkef	Ain Chkef	32.0	8.7	0.8875		0.6663	5.05	5.05	0.48	9.53	0.7	0.1505253713558476	0.7	9.53	0.48	5.05	85408.0
ainchock	Aïn-Chock	21.2	16.4	0.991	3.0	0.8267	42.9	42.9	54.09	48.06	13.22		13.22	48.06	54.09	42.9	
ainchouater	Ain Chouater	24.1	16.5	0.9508		0.8593	0.17	0.17	0.0	0.3	0.11	0.0012197851979418	0.11	0.3	0.0	0.17	705.0
aindfali	Ain Dfali	27.5	14.1	0.7001		0.5679	3.34	3.34	0.0	6.61	0.15	0.0405472816593309	0.15	6.61	0.0	3.34	23016.0
aindorbanelahlaf	Ain Dorbane-Lahlaf	31.3	13.7	0.7852		0.494	3.2	3.2	0.0	6.41	0.0	0.0148736235552508	0.0	6.41	0.0	3.2	8451.0
ainelaouda	Ain El Aouda	28.0	9.7	0.9845		0.8043	8.06	8.06	2.64	13.88	1.65	0.1735214951887229	1.65	13.88	2.64	8.06	98454.0
ainerreggada	Ain Erreggada	21.2	24.6	0.9361		0.7399	27.43	27.43	0.0	54.75	0.29	0.0041916895963956	0.29	54.75	0.0	27.43	2391.0
ainharrouda	Ain Harrouda	27.6	10.8	0.9737		0.7841	17.21	17.21	3.12	32.0	1.36	0.1067364929060324	1.36	32.0	3.12	17.21	60566.0
ainjemaa	Ain Jemaa	26.8	15.5	0.6988		0.4768	3.49	3.49	0.24	6.8	0.07	0.0221500300539561	0.07	6.8	0.24	3.49	12579.0
ainjohrasidiboukhalkhal	Ain Johra-Sidi Boukhalkhal	27.0	15.5	0.5069		0.4895	1.42	1.42	0.0	2.79	0.11	0.0293153867441782	0.11	2.79	0.0	1.42	16644.0
ainkaicher	Ain Kaicher	26.5	20.3	0.5575		0.6064	4.51	4.51	0.0	8.93	0.22	0.0068515969138729	0.22	8.93	0.0	4.51	3900.0
ainkansara	Ain Kansara	30.3	11.1	0.7438		0.4586						0.0262588729678325	0.15	3.15	0.0		14910.0
ainkansra							1.6	1.6	0.0	3.15	0.15					1.6	
ainkarmaouedrommane	Ain Karma-Oued Rommane	27.8	14.9	0.8384		0.6074	4.78	4.78	0.96	8.88	0.26	0.0246283797480403	0.26	8.88	0.96	4.78	13985.0
ainlahsan	Ain Lahsan	28.9	12.7	0.6501		0.4783	4.21	4.21	3.37	6.26	0.33	0.0131091654871296	0.33	6.26	3.37	4.21	7450.0
ainlegdah	Ain Legdah	29.0	14.4	0.3846		0.2561	3.46	3.46	0.0	6.92	0.0	0.0186563678251688	0.0	6.92	0.0	3.46	10597.0
ainlehjer	Ain Lehjer	28.8	15.4	0.5809		0.2781	2.24	2.24	0.0	4.46	0.07	0.0134493656940701	0.07	4.46	0.0	2.24	7643.0
ainleuh	Ain Leuh	22.2	17.7	0.7495	1.0	0.6155	3.2	3.2	0.0	6.29	0.29	0.0158149028842984	0.29	6.29	0.0	3.2	8985.0
